species	n_proteins	Bit1	Bit2	Bit3	Bit4
1006581	252	0.7420634920634921	0.6746031746031746	0.6468253968253969	0.5873015873015873
102684	655	0.8381679389312977	0.7603053435114504	0.7343511450381679	0.6244274809160305
1032069	628	0.7866242038216561	0.6910828025477707	0.6671974522292994	0.6146496815286624
1033837	576	0.8090277777777778	0.75	0.7118055555555556	0.6284722222222222
1034807	946	0.828752642706131	0.7251585623678647	0.7008456659619451	0.5930232558139535
103621	468	0.8354700854700855	0.7628205128205128	0.6965811965811965	0.5897435897435898
1037410	131	0.7862595419847328	0.7099236641221374	0.7099236641221374	0.6335877862595419
1041826	747	0.8259705488621151	0.7603748326639893	0.7389558232931727	0.6827309236947792
1045858	731	0.7961696306429549	0.7264021887824897	0.7004103967168263	0.6388508891928865
1048830	316	0.7879746835443038	0.7056962025316456	0.6835443037974683	0.620253164556962
1050720	908	0.8039647577092511	0.7444933920704846	0.7213656387665198	0.6563876651982379
1051072	725	0.7875862068965517	0.7144827586206897	0.6924137931034483	0.6041379310344828
1056495	519	0.7803468208092486	0.7052023121387283	0.6840077071290944	0.6242774566473989
1069083	297	0.8181818181818182	0.7643097643097643	0.7373737373737373	0.6296296296296297
1069534	597	0.8425460636515912	0.7638190954773869	0.7303182579564489	0.6666666666666666
1071378	1316	0.7811550151975684	0.6922492401215805	0.6664133738601824	0.5706686930091185
1071380	1256	0.768312101910828	0.6831210191082803	0.6584394904458599	0.5756369426751592
1071381	1282	0.7776911076443058	0.6957878315132605	0.6677067082683308	0.5787831513260531
1071400	950	0.8263157894736842	0.716842105263158	0.6768421052631579	0.5673684210526316
